"","Id","Date","Price"
"1","5000668",2003-01-06,109.85
"2","5000898",2003-01-15,74.11
"3","5000898",2003-09-20,224.96
"4","5000898",2004-10-21,79
"5","5001173",2005-08-11,51.93
"6","5001173",2005-04-20,413.08
"7","5001173",2003-01-15,948.78
"8","5001173",2004-11-16,48.15
"9","5001173",2003-01-11,948.78
"10","5001376",2003-01-09,61.7
"11","5001376",2005-11-06,126.4
"12","5001376",2004-07-06,115.88
"13","5001376",2005-11-04,126.4
"14","5001376",2005-11-09,186.59
"15","5001377",2003-01-09,145.22
"16","5001377",2006-01-15,45.14
"17","5001377",2005-02-17,55.3
"18","5001377",2005-02-09,62.07
"19","5001415",2003-01-11,137.9
"20","5001415",2003-11-10,94.8
"21","5001416",2003-01-11,48
"22","5001416",2003-01-16,36.87
"23","5002399",2003-01-08,55.86
"24","5002399",2003-10-15,74.49
"25","5002399",2003-07-25,25.58
"26","5002399",2006-04-25,66.21
"27","5002399",2003-10-04,74.49
"28","5002399",2005-05-16,106.09
"29","5002423",2005-01-16,88.03
"30","5002423",2005-04-24,173.8
"31","5002423",2003-01-03,108.23
"32","5003714",2003-01-07,44.39
"33","5003935",2006-03-03,191.86
"34","5003935",2004-06-16,77.51
"35","5003935",2005-12-08,113.61
"36","5003935",2003-04-29,119.25
"37","5003935",2004-01-21,75.24
"38","5003935",2005-04-29,86.53
"39","5003935",2003-07-05,38.37
"40","5003935",2003-06-18,138.06
"41","5003935",2004-03-11,94.81
"42","5003935",2003-07-11,44.01
"43","5003935",2004-10-02,73.74
"44","5003935",2003-01-09,79
"45","5003935",2004-11-24,164.78
"46","5003990",2003-01-14,133.93
"47","5004092",2003-08-02,43.64
"48","5004092",2003-02-11,43.64
"49","5004092",2003-01-06,44.4
"50","5004605",2003-01-06,179.08
"51","5004701",2004-11-21,97.06
"52","5004701",2003-01-11,191.87
"53","5004783",2003-01-06,86.41
"54","5004992",2004-07-06,56.81
"55","5004992",2003-01-09,60.19
"56","5005023",2003-01-03,94.8
"57","5005023",2005-01-20,129.78
"58","5005451",2004-01-26,36.12
"59","5005451",2005-01-17,66.21
"60","5005451",2003-01-06,77.5
"61","5005451",2004-01-21,75.25
"62","5005540",2003-11-16,137.31
"63","5005540",2004-12-27,88.03
"64","5005540",2003-01-11,123.94
"65","5005540",2003-02-27,139.2
"66","5005540",2006-11-05,135.13
"67","5005540",2003-07-27,53.43
"68","5005541",2003-01-11,66.33
